District ID,District Name,Grade,Gender,Total students assessed,Total students achieving HFZ at least once,Percentage achieving HFZ at least once,Total not achieving HFZ on any assessment,Percentage not achieving HFZ on any assessment,Total achieving HFZ exactly once,Total % achieving HFZ exactly once,Total achieving HFZ twice,Total % achieving HFZ twice,Total achieving HFZ  three times,Total % achieving HFZ  three times,Total achieving HFZ four times,Total % achieving HFZ four times,Total achieving HFZ five times,Total % achieving HFZ five times,Total achieving HFZ more than 5 times,Total % achieving HFZ more than 5 times
57829.0,A+ ACADEMY,3.0,Girls,45.0,45.0,100.0,,,11.0,24.4444,14.0,31.1111,15.0,33.3333,5.0,11.1111,,,,
57829.0,A+ ACADEMY,3.0,Boys,33.0,31.0,93.9394,2.0,6.06061,7.0,21.2121,10.0,30.303,9.0,27.2727,4.0,12.1212,1.0,3.0303,,
57829.0,A+ ACADEMY,4.0,Girls,30.0,30.0,100.0,,,6.0,20.0,8.0,26.6667,12.0,40.0,4.0,13.3333,,,,
57829.0,A+ ACADEMY,4.0,Boys,36.0,36.0,100.0,,,3.0,8.33333,7.0,19.4444,15.0,41.6667,9.0,25.0,2.0,5.55556,,
57829.0,A+ ACADEMY,5.0,Girls,38.0,38.0,100.0,,,3.0,7.89474,11.0,28.9474,14.0,36.8421,6.0,15.7895,4.0,10.5263,,
57829.0,A+ ACADEMY,5.0,Boys,34.0,33.0,97.0588,1.0,2.94118,5.0,14.7059,9.0,26.4706,9.0,26.4706,7.0,20.5882,3.0,8.82353,,
57829.0,A+ ACADEMY,6.0,Girls,45.0,45.0,100.0,,,3.0,6.66667,12.0,26.6667,15.0,33.3333,9.0,20.0,3.0,6.66667,3.0,6.66667
57829.0,A+ ACADEMY,6.0,Boys,35.0,35.0,100.0,,,5.0,14.2857,7.0,20.0,7.0,20.0,6.0,17.1429,6.0,17.1429,4.0,11.4286
57829.0,A+ ACADEMY,7.0,Girls,51.0,51.0,100.0,,,3.0,5.88235,9.0,17.6471,11.0,21.5686,9.0,17.6471,14.0,27.451,5.0,9.80392
57829.0,A+ ACADEMY,7.0,Boys,33.0,33.0,100.0,,,1.0,3.0303,3.0,9.09091,5.0,15.1515,10.0,30.303,8.0,24.2424,6.0,18.1818
57829.0,A+ ACADEMY,8.0,Girls,48.0,48.0,100.0,,,1.0,2.08333,6.0,12.5,8.0,16.6667,10.0,20.8333,17.0,35.4167,6.0,12.5
57829.0,A+ ACADEMY,8.0,Boys,39.0,39.0,100.0,,,1.0,2.5641,2.0,5.12821,5.0,12.8205,9.0,23.0769,7.0,17.9487,15.0,38.4615
57829.0,A+ ACADEMY,9.0,Girls,44.0,44.0,100.0,,,1.0,2.27273,7.0,15.9091,6.0,13.6364,16.0,36.3636,10.0,22.7273,4.0,9.09091
57829.0,A+ ACADEMY,9.0,Boys,30.0,30.0,100.0,,,4.0,13.3333,2.0,6.66667,4.0,13.3333,7.0,23.3333,9.0,30.0,4.0,13.3333
57829.0,A+ ACADEMY,10.0,Girls,22.0,21.0,95.4545,1.0,4.54545,1.0,4.54545,6.0,27.2727,2.0,9.09091,3.0,13.6364,8.0,36.3636,1.0,4.54545
57829.0,A+ ACADEMY,10.0,Boys,22.0,22.0,100.0,,,,,3.0,13.6364,3.0,13.6364,4.0,18.1818,10.0,45.4545,2.0,9.09091
57829.0,A+ ACADEMY,11.0,Girls,38.0,37.0,97.3684,1.0,2.63158,3.0,7.89474,3.0,7.89474,7.0,18.4211,8.0,21.0526,11.0,28.9474,5.0,13.1579
57829.0,A+ ACADEMY,11.0,Boys,22.0,22.0,100.0,,,2.0,9.09091,,,5.0,22.7273,2.0,9.09091,8.0,36.3636,5.0,22.7273
57829.0,A+ ACADEMY,12.0,Girls,18.0,18.0,100.0,,,4.0,22.2222,2.0,11.1111,4.0,22.2222,2.0,11.1111,3.0,16.6667,3.0,16.6667
57829.0,A+ ACADEMY,12.0,Boys,24.0,24.0,100.0,,,1.0,4.16667,,,2.0,8.33333,3.0,12.5,11.0,45.8333,7.0,29.1667
109901.0,ABBOTT ISD,3.0,Girls,9.0,9.0,100.0,,,,,,,,,3.0,33.3333,4.0,44.4444,2.0,22.2222
109901.0,ABBOTT ISD,3.0,Boys,12.0,12.0,100.0,,,,,1.0,8.33333,,,3.0,25.0,5.0,41.6667,3.0,25.0
109901.0,ABBOTT ISD,4.0,Girls,7.0,7.0,100.0,,,,,1.0,14.2857,1.0,14.2857,2.0,28.5714,3.0,42.8571,,
109901.0,ABBOTT ISD,4.0,Boys,10.0,10.0,100.0,,,1.0,10.0,1.0,10.0,1.0,10.0,4.0,40.0,3.0,30.0,,
109901.0,ABBOTT ISD,5.0,Girls,< 5,< 5,< 5,< 5,< 5,< 5,< 5,< 5,< 5,< 5,< 5,< 5,< 5,< 5,< 5,< 5,< 5
109901.0,ABBOTT ISD,5.0,Boys,13.0,13.0,100.0,,,1.0,7.69231,1.0,7.69231,2.0,15.3846,3.0,23.0769,6.0,46.1538,,
